 YY XX    OLR1   U8501    OLR2   U8502    OLR3    U8503   OLR4   U8504
  3 33 -0.0076 -0.0079 -0.0050  0.0145 -0.0096  0.0024 -0.0081  0.0021
  3 34 -0.0053 -0.0053 -0.0053  0.0137 -0.0091 -0.0004 -0.0068  0.0037
  3 35 -0.0024 -0.0037 -0.0040  0.0130 -0.0076 -0.0018 -0.0077  0.0060
  3 36 -0.0005 -0.0028 -0.0062  0.0119 -0.0070 -0.0013 -0.0062  0.0079
  3 37  0.0000 -0.0018 -0.0094  0.0099 -0.0057  0.0006 -0.0066  0.0086
  3 38  0.0003 -0.0002 -0.0086  0.0074 -0.0051  0.0025 -0.0093  0.0083
  3 39 -0.0008  0.0016 -0.0080  0.0052 -0.0043  0.0032 -0.0082  0.0077
  3 40 -0.0028  0.0032 -0.0087  0.0038 -0.0033  0.0022 -0.0077  0.0076
  3 41 -0.0004  0.0034 -0.0117  0.0036  0.0002 -0.0005 -0.0043  0.0080
  3 42  0.0006  0.0011 -0.0143  0.0041  0.0036 -0.0038 -0.0028  0.0089
  3 43  0.0064 -0.0032 -0.0200  0.0045  0.0107 -0.0062 -0.0002  0.0096
  3 44  0.0038 -0.0077 -0.0193  0.0036  0.0098 -0.0075  0.0041  0.0092
  3 45  0.0008 -0.0110 -0.0151  0.0018  0.0100 -0.0090  0.0036  0.0071
  3 46 -0.0020 -0.0132 -0.0129  0.0001  0.0125 -0.0120  0.0057  0.0039
  3 47 -0.0032 -0.0153 -0.0125 -0.0008  0.0104 -0.0165  0.0050  0.0008
  3 48 -0.0037 -0.0172 -0.0125 -0.0015  0.0109 -0.0212  0.0040 -0.0016
  3 49 -0.0040 -0.0183 -0.0109 -0.0026  0.0116 -0.0244  0.0010 -0.0032
  4  1  0.0009  0.0037  0.0035  0.0033  0.0114  0.0052  0.0009  0.0008
  4  2  0.0001  0.0068  0.0043  0.0042  0.0106  0.0089  0.0019  0.0007
  4  3 -0.0003  0.0099  0.0050  0.0040  0.0105  0.0121  0.0013 -0.0009
  4  4 -0.0004  0.0121  0.0054  0.0029  0.0106  0.0147 -0.0009 -0.0035
  4  5 -0.0011  0.0140  0.0065  0.0015  0.0119  0.0173 -0.0021 -0.0061
  4  6 -0.0022  0.0165  0.0078  0.0004  0.0148  0.0203 -0.0010 -0.0080
  4  7 -0.0011  0.0195  0.0110  0.0000  0.0173  0.0237 -0.0012 -0.0091
  4  8 -0.0009  0.0225  0.0126 -0.0002  0.0165  0.0277 -0.0009 -0.0100
  4  9 -0.0030  0.0249  0.0139 -0.0007  0.0136  0.0320 -0.0025 -0.0112
  4 10 -0.0078  0.0267  0.0114 -0.0019  0.0088  0.0363 -0.0010 -0.0130
  4 11 -0.0109  0.0281  0.0081 -0.0031  0.0036  0.0406  0.0011 -0.0148
  4 12 -0.0125  0.0294  0.0093 -0.0032 -0.0008  0.0453 -0.0002 -0.0160
  4 13 -0.0146  0.0315  0.0129 -0.0021 -0.0054  0.0515 -0.0032 -0.0164
  4 14 -0.0169  0.0344  0.0132 -0.0002 -0.0107  0.0593 -0.0011 -0.0165
  4 15 -0.0223  0.0370  0.0166  0.0023 -0.0170  0.0678  0.0024 -0.0166
  4 16 -0.0255  0.0385  0.0229  0.0054 -0.0213  0.0752  0.0026 -0.0164
  4 17 -0.0273  0.0384  0.0257  0.0091 -0.0227  0.0799  0.0027 -0.0158
  4 18 -0.0286  0.0371  0.0278  0.0123 -0.0258  0.0802  0.0034 -0.0154
  4 19 -0.0290  0.0346  0.0249  0.0141 -0.0290  0.0759  0.0049 -0.0155
  4 20 -0.0296  0.0303  0.0239  0.0143 -0.0298  0.0684  0.0028 -0.0160
  4 21 -0.0310  0.0249  0.0205  0.0134 -0.0317  0.0599  0.0019 -0.0155
  4 22 -0.0286  0.0197  0.0179  0.0120 -0.0323  0.0521  0.0035 -0.0129
  4 23 -0.0261  0.0144  0.0163  0.0113 -0.0328  0.0451  0.0033 -0.0090
  4 24 -0.0246  0.0074  0.0133  0.0127 -0.0293  0.0386  0.0043 -0.0055
  4 25 -0.0195 -0.0016  0.0061  0.0162 -0.0222  0.0321  0.0039 -0.0037
  4 26 -0.0172 -0.0094 -0.0038  0.0201 -0.0230  0.0253  0.0006 -0.0034
  4 27 -0.0263 -0.0124  0.0003  0.0219 -0.0206  0.0180 -0.0007 -0.0036
  4 28 -0.0290 -0.0107  0.0022  0.0209 -0.0171  0.0114 -0.0034 -0.0036
  4 29 -0.0279 -0.0086  0.0029  0.0188 -0.0138  0.0070 -0.0070 -0.0029
